pcgc,smvgc,sig_pcgc,length,pcmi,sig_mi,dist,sub_id,cdt,pair,pcte
0.0011245607765100196,[0.04562896 0.04540819 0.04475857 ... 0.00013526 0.00013526 0.00013526],0.0,0.4594730000000027,0.03809048937671733,1.0,-64.221542,AnRa,Rest,RR,0.2027997819311559
0.0006971300433493699,"[2.67497502e-02 2.66253501e-02 2.62590448e-02 ... 3.47205896e-05
 3.47205381e-05 3.47205210e-05]",0.0,1.3954580000000048,0.005733085556475004,1.0,-63.285557,AnRa,Rest,FR,0.1257182570493555
0.0009246758360046404,[0.01332096 0.01320815 0.01288082 ... 0.00084239 0.00084238 0.00084238],0.0,3.584251000000002,0.00024069177549179702,0.0,-61.096764,AnRa,Rest,FR,0.16675315537921884
0.0037015959006594383,[0.09784846 0.0976532  0.09707194 ... 0.00016159 0.0001616  0.0001616 ],1.0,10.686527000000003,0.12707694815584958,1.0,-53.994488,AnRa,Rest,FR,0.6675342561570359
0.0006541915120372722,[0.00164262 0.00163727 0.00162143 ... 0.00045716 0.00045715 0.00045715],0.0,11.46279899999999,0.0007309028105986215,0.0,-53.21821600000001,AnRa,Rest,RR,0.11797485627597812
8.882424728229309e-05,"[7.51771246e-05 7.51066741e-05 7.48966470e-05 ... 7.79568288e-05
 7.79561407e-05 7.79559114e-05]",0.0,12.990780000000008,0.0009558499855195637,1.0,-51.690235,AnRa,Rest,OR,0.016018287633107406
0.000973792886567626,"[1.74775107e-02 1.74625969e-02 1.74180118e-02 ... 5.07541663e-06
 5.07368150e-06 5.07310314e-06]",0.0,13.687859000000005,0.03292783698797308,1.0,-50.993156,AnRa,Rest,OR,0.17561077103800785
0.0005970340005780893,"[1.08477045e-02 1.08339365e-02 1.07928461e-02 ... 1.36432482e-05
 1.36432619e-05 1.36432664e-05]",0.0,14.01835599999999,0.015202169085632988,1.0,-50.66265900000001,AnRa,Rest,FR,0.1076672489845135
0.00029471511091783137,[0.00241152 0.00240567 0.00238831 ... 0.00026986 0.00026986 0.00026985],0.0,29.34300199999999,0.0008444509176150916,1.0,-35.33801300000001,AnRa,Rest,FR,0.05314800362452452
0.0028643299109911697,[0.04929767 0.04925691 0.04913504 ... 0.00025184 0.00025183 0.00025183],1.0,34.098703,0.03060717354957632,1.0,-30.582312,AnRa,Rest,RR,0.5165443197571109
5.873344476725605e-05,"[4.82153876e-06 4.83495211e-06 4.87511468e-06 ... 4.08961393e-05
 4.08959165e-05 4.08958422e-05]",0.0,42.50410100000001,8.739320429995699e-05,0.0,-22.176914,AnRa,Rest,FR,0.010591806187505768
0.0005787734053381842,[0.00569424 0.00569106 0.00568157 ... 0.00026211 0.00026211 0.00026211],0.0,43.69618800000001,0.00018787053688740232,0.0,-20.984827,AnRa,Rest,RR,0.10437419020997707
0.0006992916380932357,"[6.62960523e-04 6.63169106e-04 6.63794406e-04 ... 1.36089474e-05
 1.36064771e-05 1.36056537e-05]",0.0,49.724257,0.000663997459334098,0.0,-14.956758,AnRa,Rest,RR,0.12610807230152885
0.0004098215375150094,"[1.83488747e-03 1.83384272e-03 1.83071583e-03 ... 5.25682853e-07
 5.25464343e-07 5.25391511e-07]",0.0,53.01578900000001,0.00031466453944517525,0.0,-11.665225999999995,AnRa,Rest,OR,0.07390593747779929
0.00026576011811374484,[0.00048306 0.000483   0.00048279 ... 0.0001319  0.0001319  0.0001319 ],0.0,53.554687,9.974172495930134e-05,0.0,-11.126328,AnRa,Rest,RR,0.047926350558595586
0.00046971055342170937,"[2.61365719e-06 2.70469311e-06 2.97744018e-06 ... 2.46307231e-06
 2.46274509e-06 2.46263602e-06]",0.0,72.82324700000002,0.0005768271031811878,0.0,8.142232,AnRa,Rest,RR,0.08470613575933883
0.0013736336806902114,[0.02989357 0.0298231  0.02961365 ... 0.00078078 0.00078077 0.00078077],0.0,0.4594730000000027,0.03809048937671733,1.0,-64.681015,AnRa,Rest,RR,0.2477168123912277
0.002569310587065443,"[1.11043359e-01 1.10501657e-01 1.08907884e-01 ... 3.00800612e-05
 3.00788941e-05 3.00785051e-05]",1.0,0.9359850000000024,0.1630812929584735,1.0,-63.285557,AnRa,Rest,FR,0.4633414553078533
0.0002717901923405819,"[1.23595848e-03 1.22675838e-03 1.20005514e-03 ... 8.77086064e-06
 8.76752419e-06 8.76641206e-06]",0.0,3.1247779999999987,0.0015327366873130188,1.0,-61.096764,AnRa,Rest,FR,0.049013795331501867
0.00040100865115788586,"[5.66296170e-04 5.65249650e-04 5.62133219e-04 ... 5.39043112e-05
 5.39001119e-05 5.38987122e-05]",0.0,10.227054000000004,0.00868581060437279,1.0,-53.994488,AnRa,Rest,FR,0.07231664904738178
0.0006289552777680728,[0.01043159 0.01039409 0.01028314 ... 0.00010255 0.00010255 0.00010255],0.0,11.003325999999989,0.0102224466724401,1.0,-53.21821600000001,AnRa,Rest,RR,0.1134238325221174
0.000909016552788966,"[2.72009696e-05 2.73806116e-05 2.79161176e-05 ... 2.88159260e-04
 2.88146795e-04 2.88142640e-04]",0.0,12.531307000000005,0.0002095852451837743,0.0,-51.690235,AnRa,Rest,OR,0.16392920909932773
0.00023336191861367261,"[3.49332469e-03 3.49029634e-03 3.48124288e-03 ... 8.94630496e-05
 8.94623439e-05 8.94621087e-05]",0.0,13.228385999999999,0.011076777942783169,1.0,-50.993156,AnRa,Rest,OR,0.04208376033953492
