time,pair,condition,subject,F,Fb
-0.104999969482424,O->O,rest,AnRa,0.00201205111243173,0.00181194744409397
-0.0799999694824238,O->O,rest,AnRa,0.00199388376591201,0.00181194744409397
-0.0549999694824237,O->O,rest,AnRa,0.00205862392654007,0.00181194744409397
-0.0299999694824238,O->O,rest,AnRa,0.00208650772487547,0.00181194744409397
-0.00499996948242376,O->O,rest,AnRa,0.00209162511869763,0.00181194744409397
0.0200000305175763,O->O,rest,AnRa,0.00207775685369813,0.00181194744409397
0.0450000305175763,O->O,rest,AnRa,0.00212173608965348,0.00181194744409397
0.0700000305175762,O->O,rest,AnRa,0.00211442449028472,0.00181194744409397
0.0950000305175762,O->O,rest,AnRa,0.00207022173023513,0.00181194744409397
0.120000030517576,O->O,rest,AnRa,0.00211907859251496,0.00181194744409397
0.145000030517576,O->O,rest,AnRa,0.00212505816319345,0.00181194744409397
0.170000030517576,O->O,rest,AnRa,0.0020574976566511,0.00181194744409397
0.195000030517576,O->O,rest,AnRa,0.00205555744671877,0.00181194744409397
0.220000030517576,O->O,rest,AnRa,0.00205366082582031,0.00181194744409397
0.245000030517576,O->O,rest,AnRa,0.00202428507911634,0.00181194744409397
0.270000030517576,O->O,rest,AnRa,0.00195911458343308,0.00181194744409397
0.295000030517576,O->O,rest,AnRa,0.00204218058921702,0.00181194744409397
0.320000030517576,O->O,rest,AnRa,0.00205236451214921,0.00181194744409397
0.345000030517576,O->O,rest,AnRa,0.00211008429278805,0.00181194744409397
0.370000030517576,O->O,rest,AnRa,0.002078475590171,0.00181194744409397
0.395000030517576,O->O,rest,AnRa,0.00213137134328468,0.00181194744409397
0.420000030517576,O->O,rest,AnRa,0.002045261615051,0.00181194744409397
0.445000030517576,O->O,rest,AnRa,0.00203858733148028,0.00181194744409397
0.470000030517576,O->O,rest,AnRa,0.00212886999763599,0.00181194744409397
0.495000030517576,O->O,rest,AnRa,0.00206008243872416,0.00181194744409397
