time,condition,subject,aic,bic,hqc,lrt,rho
-0.104999969482424,rest,AnRa,5,3,3,3,0.994733830577822
-0.0549999694824237,rest,AnRa,5,3,3,3,0.994999692489046
-0.00499996948242376,rest,AnRa,5,3,3,3,0.995221475477264
0.0450000305175763,rest,AnRa,5,3,3,3,0.995630849240364
0.0950000305175762,rest,AnRa,5,3,3,3,0.996140216328283
0.145000030517576,rest,AnRa,5,3,3,3,0.995794054325917
0.195000030517576,rest,AnRa,5,3,3,3,0.995546540222518
0.245000030517576,rest,AnRa,5,3,3,3,0.995761810905125
0.295000030517576,rest,AnRa,5,3,3,3,0.996592560345288
0.345000030517576,rest,AnRa,5,3,3,3,0.997149801193851
0.395000030517576,rest,AnRa,5,3,3,3,0.997003808256546
0.445000030517576,rest,AnRa,5,3,3,3,0.996364790804478
0.495000030517576,rest,AnRa,5,3,3,3,0.996175727193318
0.545000030517576,rest,AnRa,5,3,3,3,0.996206914067227
0.595000030517576,rest,AnRa,5,3,3,3,0.996365072762084
0.645000030517576,rest,AnRa,5,3,3,3,0.995015606686396
0.695000030517576,rest,AnRa,5,3,3,3,0.99613133795254
0.745000030517576,rest,AnRa,5,3,3,3,0.995354084048869
0.795000030517576,rest,AnRa,5,3,3,3,0.995218151553767
0.845000030517576,rest,AnRa,5,3,3,3,0.995765282653123
0.895000030517576,rest,AnRa,5,3,3,3,0.996046905347694
0.945000030517576,rest,AnRa,5,3,3,3,0.995215757890434
0.995000030517576,rest,AnRa,5,3,3,3,0.996146787569563
1.04500003051758,rest,AnRa,5,3,3,3,0.996369436539476
1.09500003051758,rest,AnRa,5,3,3,3,0.997248902709414
1.14500003051758,rest,AnRa,5,3,3,3,0.995629211014362
1.19500003051758,rest,AnRa,5,3,3,3,0.996566540126292
1.24500003051758,rest,AnRa,5,3,3,3,0.995976468558909
1.29500003051758,rest,AnRa,5,3,3,3,0.995440640785848
1.34500003051758,rest,AnRa,5,3,3,3,0.995615534337126
1.39500003051758,rest,AnRa,5,3,3,3,0.995492075647897
1.44500003051758,rest,AnRa,5,3,3,3,0.993757284867969
1.49500003051758,rest,AnRa,5,3,3,3,0.992478466172427
-0.104999969482424,face,AnRa,5,3,3,3,0.992299084293037
-0.0549999694824237,face,AnRa,5,3,3,3,0.993608547332802
-0.00499996948242376,face,AnRa,5,3,3,3,0.993821625116192
0.0450000305175763,face,AnRa,5,3,3,3,0.993201450906249
0.0950000305175762,face,AnRa,5,3,3,3,0.993284179430842
0.145000030517576,face,AnRa,5,3,3,3,0.99147416194931
0.195000030517576,face,AnRa,5,3,3,3,0.990158849112295
0.245000030517576,face,AnRa,5,3,3,3,0.986986709656602
0.295000030517576,face,AnRa,5,3,3,3,0.979408492570583
0.345000030517576,face,AnRa,5,3,3,3,0.981347707299708
0.395000030517576,face,AnRa,5,3,3,3,0.981165793786748
0.445000030517576,face,AnRa,5,3,3,3,0.984716017359932
0.495000030517576,face,AnRa,5,3,3,3,0.984588632950642
0.545000030517576,face,AnRa,5,3,3,3,0.984213694505303
0.595000030517576,face,AnRa,5,3,3,3,0.985579874773706
0.645000030517576,face,AnRa,5,3,3,3,0.987479581099006
0.695000030517576,face,AnRa,5,3,5,3,0.989925386042404
0.745000030517576,face,AnRa,5,3,3,3,0.988489121358822
0.795000030517576,face,AnRa,5,3,3,3,0.989532110566023
0.845000030517576,face,AnRa,5,3,3,3,0.989152422423949
0.895000030517576,face,AnRa,5,3,3,3,0.988102535968345
0.945000030517576,face,AnRa,5,3,3,3,0.990457472175976
0.995000030517576,face,AnRa,5,3,3,3,0.989849423627602
1.04500003051758,face,AnRa,5,3,3,3,0.988977539418758
1.09500003051758,face,AnRa,5,3,3,3,0.987408096913106
1.14500003051758,face,AnRa,5,3,3,3,0.985132203437367
1.19500003051758,face,AnRa,5,3,5,3,0.985190616571958
1.24500003051758,face,AnRa,5,3,3,3,0.984236035971279
1.29500003051758,face,AnRa,5,3,3,3,0.985865540823597
1.34500003051758,face,AnRa,5,3,3,3,0.985781377670506
1.39500003051758,face,AnRa,5,3,3,3,0.986174453207121
1.44500003051758,face,AnRa,5,3,3,3,0.988039905610933
1.49500003051758,face,AnRa,5,3,3,3,0.991073395250924
-0.104999969482424,place,AnRa,5,3,3,3,0.997195514487962
-0.0549999694824237,place,AnRa,5,3,3,3,0.99576775610749
-0.00499996948242376,place,AnRa,5,3,3,3,0.995792848570425
0.0450000305175763,place,AnRa,5,3,3,3,0.995192170750276
0.0950000305175762,place,AnRa,5,3,3,3,0.994523012013535
0.145000030517576,place,AnRa,5,3,3,3,0.995309190536232
0.195000030517576,place,AnRa,5,3,3,3,0.996761071633512
0.245000030517576,place,AnRa,5,3,3,3,0.995803304601969
0.295000030517576,place,AnRa,5,3,3,3,0.994487726757689
0.345000030517576,place,AnRa,5,3,3,3,0.994106972532467
0.395000030517576,place,AnRa,5,3,3,3,0.99408949706126
0.445000030517576,place,AnRa,5,3,3,3,0.991993899375448
0.495000030517576,place,AnRa,5,3,3,3,0.990906269054341
0.545000030517576,place,AnRa,5,3,3,3,0.989706587309468
0.595000030517576,place,AnRa,5,3,3,3,0.990549839332879
0.645000030517576,place,AnRa,5,3,3,3,0.990749147384527
0.695000030517576,place,AnRa,5,3,3,3,0.990288829058151
0.745000030517576,place,AnRa,5,3,3,3,0.990635052755212
0.795000030517576,place,AnRa,5,3,3,3,0.991022362369325
0.845000030517576,place,AnRa,6,3,3,3,0.992391611825655
0.895000030517576,place,AnRa,5,3,3,3,0.991640235356977
0.945000030517576,place,AnRa,5,3,3,3,0.992541358516952
0.995000030517576,place,AnRa,5,3,3,3,0.993123732993771
1.04500003051758,place,AnRa,5,3,3,3,0.992937782168167
1.09500003051758,place,AnRa,5,3,3,3,0.992211157537374
1.14500003051758,place,AnRa,5,3,3,3,0.992324784746087
1.19500003051758,place,AnRa,5,3,3,3,0.992247837031919
1.24500003051758,place,AnRa,5,3,3,3,0.992919200429269
1.29500003051758,place,AnRa,5,3,3,3,0.99250714355981
1.34500003051758,place,AnRa,5,3,3,3,0.991254025279341
1.39500003051758,place,AnRa,5,3,3,3,0.991014451276409
1.44500003051758,place,AnRa,5,3,3,3,0.989987225654106
1.49500003051758,place,AnRa,5,3,3,3,0.989791227499811
-0.105,rest,ArLa,6,3,3,3,0.920840138763007
-0.055,rest,ArLa,5,3,3,3,0.922735573204001
-0.005,rest,ArLa,5,3,3,3,0.927518711763988
0.045,rest,ArLa,5,3,3,3,0.924641657585058
0.095,rest,ArLa,5,3,3,3,0.919284645135654
0.145,rest,ArLa,5,3,3,3,0.922394030824746
0.195,rest,ArLa,5,3,3,3,0.91692584361872
0.245,rest,ArLa,5,3,3,3,0.922844788908926
0.295,rest,ArLa,5,3,3,3,0.915666884386087
0.345,rest,ArLa,5,3,3,3,0.905173448732065
0.395,rest,ArLa,5,3,3,3,0.904775924611451
0.445,rest,ArLa,5,3,3,3,0.912820691153381
0.495,rest,ArLa,5,3,3,3,0.918323855457917
0.545,rest,ArLa,5,3,3,3,0.914061324873451
0.595,rest,ArLa,5,3,3,3,0.915944696381091
0.645,rest,ArLa,5,3,3,3,0.925140662845974
0.695,rest,ArLa,5,3,3,3,0.924240081016921
0.745,rest,ArLa,5,3,3,3,0.930685760080816
0.795,rest,ArLa,5,3,3,3,0.922940761336717
0.845,rest,ArLa,5,3,3,3,0.913476734072777
0.895,rest,ArLa,5,3,3,3,0.906887584123393
0.945,rest,ArLa,5,3,3,3,0.910820657077352
0.995,rest,ArLa,5,3,3,3,0.905923230976945
1.045,rest,ArLa,5,3,3,3,0.936386494911942
1.095,rest,ArLa,5,3,3,3,0.941244520646983
1.145,rest,ArLa,5,3,3,3,0.941583701971288
1.195,rest,ArLa,5,3,3,3,0.941196753436564
1.245,rest,ArLa,5,3,3,3,0.942771328781319
1.295,rest,ArLa,5,3,3,3,0.947304168104449
1.345,rest,ArLa,5,3,3,3,0.942442428545204
1.395,rest,ArLa,5,3,3,3,0.935891634517277
1.445,rest,ArLa,5,3,3,3,0.925780641852324
1.495,rest,ArLa,5,3,3,3,0.926831355423105
-0.105,face,ArLa,5,3,3,3,0.964806578778786
-0.055,face,ArLa,5,3,3,3,0.961211985239078
-0.005,face,ArLa,5,3,3,3,0.960961630400591
0.045,face,ArLa,5,3,3,3,0.962742921900787
0.095,face,ArLa,5,3,3,3,0.959379211193429
0.145,face,ArLa,5,3,3,3,0.953414794373776
0.195,face,ArLa,5,3,3,3,0.927962534127412
0.245,face,ArLa,5,3,3,3,0.923192722263191
0.295,face,ArLa,5,3,3,3,0.930042591889625
0.345,face,ArLa,5,3,3,3,0.934232813939303
0.395,face,ArLa,6,3,3,3,0.948846537283881
0.445,face,ArLa,5,3,3,3,0.962416075177638
0.495,face,ArLa,5,3,5,3,0.969932562394955
0.545,face,ArLa,5,3,3,3,0.977613312277556
0.595,face,ArLa,5,3,5,3,0.979877298534795
0.645,face,ArLa,5,3,5,3,0.981481477250694
0.695,face,ArLa,5,3,5,3,0.978967015629462
0.745,face,ArLa,5,3,5,3,0.977222687981782
0.795,face,ArLa,5,3,3,3,0.974404483300294
0.845,face,ArLa,5,3,5,3,0.973964135059382
0.895,face,ArLa,5,3,3,3,0.97381124628042
0.945,face,ArLa,5,3,5,3,0.971825257476929
0.995,face,ArLa,5,3,5,3,0.971208587841936
1.045,face,ArLa,5,3,3,3,0.972398059745776
1.095,face,ArLa,5,3,5,3,0.969228506138416
1.145,face,ArLa,5,3,5,3,0.970260611355681
1.195,face,ArLa,5,3,3,3,0.970036682821599
1.245,face,ArLa,5,3,3,3,0.968949054120978
1.295,face,ArLa,5,3,3,3,0.968482180159632
1.345,face,ArLa,5,3,3,3,0.965304207601315
1.395,face,ArLa,5,3,5,3,0.966773963136787
1.445,face,ArLa,5,3,3,3,0.964120801474525
1.495,face,ArLa,5,3,3,3,0.961943212317429
-0.105,place,ArLa,5,3,5,3,0.965593984180269
-0.055,place,ArLa,5,3,3,3,0.965907661398707
-0.005,place,ArLa,5,3,3,3,0.964879248904973
0.045,place,ArLa,5,3,3,3,0.966015539034708
0.095,place,ArLa,5,3,3,3,0.964462495664349
0.145,place,ArLa,5,3,3,3,0.952617632972698
0.195,place,ArLa,6,3,3,3,0.94729985442661
0.245,place,ArLa,5,3,3,3,0.935576621160179
0.295,place,ArLa,6,3,4,3,0.932719992331784
0.345,place,ArLa,5,3,5,3,0.931637868239815
0.395,place,ArLa,5,3,3,3,0.939648601695763
0.445,place,ArLa,5,3,5,3,0.945489878158354
0.495,place,ArLa,5,3,5,3,0.941182918989042
0.545,place,ArLa,5,3,5,3,0.953724518963279
0.595,place,ArLa,5,3,3,3,0.968241178523428
0.645,place,ArLa,5,3,3,3,0.970530377146703
0.695,place,ArLa,5,3,3,3,0.973000830655668
0.745,place,ArLa,5,3,3,3,0.974274016060942
0.795,place,ArLa,5,3,5,3,0.972155506010184
0.845,place,ArLa,5,3,3,3,0.977275382736796
0.895,place,ArLa,5,3,3,3,0.975203053884911
0.945,place,ArLa,5,3,3,3,0.975212311751593
0.995,place,ArLa,5,3,3,3,0.975929690545975
1.045,place,ArLa,5,3,3,3,0.972864910283391
1.095,place,ArLa,5,3,3,3,0.974469480922494
1.145,place,ArLa,5,3,3,3,0.977522203775707
1.195,place,ArLa,5,3,3,3,0.974873542707939
1.245,place,ArLa,5,3,3,3,0.97622195935465
1.295,place,ArLa,5,3,3,3,0.978493288083428
1.345,place,ArLa,5,3,3,3,0.977886280005259
1.395,place,ArLa,5,3,3,3,0.979196955741065
1.445,place,ArLa,6,3,5,3,0.978397079111673
1.495,place,ArLa,5,3,3,3,0.974809592009301
-0.105,rest,BeFe,6,3,3,3,0.88448621312028
-0.055,rest,BeFe,5,3,3,3,0.895277590060221
-0.005,rest,BeFe,5,3,3,3,0.891983677487004
0.045,rest,BeFe,5,3,3,3,0.885892410494905
0.095,rest,BeFe,5,3,3,3,0.892581664243946
0.145,rest,BeFe,8,3,3,3,0.885804803404702
0.195,rest,BeFe,5,3,3,3,0.898244647358382
0.245,rest,BeFe,5,3,3,3,0.898980822931017
0.295,rest,BeFe,6,3,3,3,0.884466891903062
0.345,rest,BeFe,5,3,3,3,0.875627979806501
0.395,rest,BeFe,5,3,3,3,0.881368928135398
0.445,rest,BeFe,5,3,3,3,0.885144610950486
0.495,rest,BeFe,5,3,3,3,0.878984445059884
0.545,rest,BeFe,5,3,3,3,0.890068840351716
0.595,rest,BeFe,6,3,3,3,0.893862028799177
0.645,rest,BeFe,6,3,3,3,0.892792643829897
0.695,rest,BeFe,5,3,3,3,0.891473693539423
0.745,rest,BeFe,5,3,3,3,0.892132164644946
0.795,rest,BeFe,5,3,3,3,0.894461236569489
0.845,rest,BeFe,5,3,3,3,0.902908986349409
0.895,rest,BeFe,6,3,3,3,0.901430926434833
0.945,rest,BeFe,10,3,5,3,0.897432725944565
0.995,rest,BeFe,5,3,3,3,0.895184846236755
1.045,rest,BeFe,5,3,3,3,0.881083063970526
1.095,rest,BeFe,8,3,3,3,0.876593461013676
1.145,rest,BeFe,5,3,3,3,0.883677619961802
1.195,rest,BeFe,6,3,3,3,0.875866489383623
1.245,rest,BeFe,6,3,3,3,0.900246116843563
1.295,rest,BeFe,5,3,3,3,0.894649563744734
1.345,rest,BeFe,6,3,3,3,0.891283783466405
1.395,rest,BeFe,6,3,3,3,0.896510374562799
1.445,rest,BeFe,9,3,3,3,0.90651644389347
1.495,rest,BeFe,6,3,3,3,0.905078503377235
-0.105,face,BeFe,5,3,5,3,0.928972953336119
-0.055,face,BeFe,5,3,5,3,0.927306278504994
-0.005,face,BeFe,5,3,5,3,0.923341263819768
0.045,face,BeFe,5,3,3,3,0.917676024825741
0.095,face,BeFe,5,3,3,3,0.914807208419324
0.145,face,BeFe,5,3,3,3,0.904848892941704
0.195,face,BeFe,6,3,5,3,0.909853416168795
0.245,face,BeFe,5,3,5,3,0.898932478041708
0.295,face,BeFe,5,3,5,3,0.902371082289485
0.345,face,BeFe,8,4,5,3,0.906158800178169
0.395,face,BeFe,6,3,5,3,0.910626400058515
0.445,face,BeFe,5,3,5,3,0.909220084065525
0.495,face,BeFe,8,3,5,3,0.909449892620713
0.545,face,BeFe,5,3,5,3,0.928100222264564
0.595,face,BeFe,5,3,5,3,0.935100213381375
0.645,face,BeFe,8,3,5,3,0.945162867966455
0.695,face,BeFe,5,3,5,3,0.950862624681639
0.745,face,BeFe,5,3,5,3,0.953989773064945
0.795,face,BeFe,5,3,5,3,0.953617042625804
0.845,face,BeFe,5,3,5,3,0.953525848183186
0.895,face,BeFe,5,3,5,3,0.952623088897299
0.945,face,BeFe,5,3,5,3,0.952814575319677
0.995,face,BeFe,5,3,5,3,0.95039208273377
1.045,face,BeFe,9,3,5,3,0.94984903657227
1.095,face,BeFe,6,3,5,3,0.953142130136594
1.145,face,BeFe,5,3,5,3,0.952543630328833
1.195,face,BeFe,5,3,5,3,0.956629396834025
1.245,face,BeFe,5,3,5,3,0.957369897658978
1.295,face,BeFe,5,3,5,3,0.959058138754655
1.345,face,BeFe,5,3,5,3,0.961210247932827
1.395,face,BeFe,5,3,5,3,0.962231858428449
1.445,face,BeFe,8,3,5,3,0.964796158326278
1.495,face,BeFe,5,3,5,3,0.968544680060903
-0.105,place,BeFe,5,3,5,3,0.95074676430426
-0.055,place,BeFe,5,3,5,3,0.949822015443783
-0.005,place,BeFe,5,3,5,3,0.94455940904486
0.045,place,BeFe,5,3,5,3,0.936649681601686
0.095,place,BeFe,7,3,5,3,0.932428315679081
0.145,place,BeFe,5,3,5,3,0.933982184704433
0.195,place,BeFe,5,3,5,3,0.931225587214778
0.245,place,BeFe,6,3,5,3,0.919803939650575
0.295,place,BeFe,8,3,5,3,0.915001229874352
0.345,place,BeFe,5,3,5,3,0.923273430734101
0.395,place,BeFe,8,3,5,3,0.93214712427646
0.445,place,BeFe,5,3,5,3,0.924697488744988
0.495,place,BeFe,9,3,5,3,0.927966200366563
0.545,place,BeFe,6,3,5,3,0.934648191381417
0.595,place,BeFe,5,3,5,3,0.940498852647597
0.645,place,BeFe,6,3,5,3,0.938478789086899
0.695,place,BeFe,6,3,5,3,0.938498883914891
0.745,place,BeFe,5,3,5,3,0.937627693235302
0.795,place,BeFe,5,3,5,3,0.937643950300177
0.845,place,BeFe,5,3,5,3,0.937490742099897
0.895,place,BeFe,5,3,5,3,0.937105874272602
0.945,place,BeFe,6,3,5,3,0.927716297344525
0.995,place,BeFe,6,3,5,3,0.939142499202995
1.045,place,BeFe,8,3,5,3,0.945750568912594
1.095,place,BeFe,7,3,5,3,0.94832920238505
1.145,place,BeFe,5,3,5,3,0.950913251650256
1.195,place,BeFe,6,3,5,3,0.946526912144773
1.245,place,BeFe,5,3,5,3,0.946329528177146
1.295,place,BeFe,5,3,5,3,0.945271600309931
1.345,place,BeFe,5,3,5,3,0.950094765400713
1.395,place,BeFe,5,3,5,3,0.950384451452065
1.445,place,BeFe,5,3,5,3,0.945461099246962
1.495,place,BeFe,5,3,5,3,0.946440275642484
-0.105,rest,DiAs,5,3,3,3,0.926641116149948
-0.055,rest,DiAs,5,3,5,3,0.920632916218763
-0.005,rest,DiAs,5,3,3,3,0.923959205287706
0.045,rest,DiAs,6,3,3,3,0.937942711515435
